"Symbol","price","grahamNumber","yearHigh","yearLow","grahamMinusPrice","DCF","DCFminusPrice","InsiderPurchased","TransactionCount","TransactionCountBand"
"A",133.97,39.8441395410321,179.57,123.06,-94.1258604589679,"138.803876221498","4.833876221498",2481695.16,15,"12-45"
"A17U.SI",2.95,2.65189092929677,3.18,2.76,-0.298109070703226,"3.02582464852757","0.0758246485275698",0,0,"1-12"
"AA",90.62,35.9966465212243,98.09,30.025,-54.6233534787757,"100.379196191714","9.759196191714",0,0,"1-12"
"AAP",207.48,95.7884591757291,244.55,179.6,-111.691540824271,"216.195968870919","8.715968870919",-1194701.7,16,"12-45"
"AAPL",174.31,21.950837680916,182.94,122.25,-152.359162319084,"176.381756170308","2.07175617030799",0,8,"1-12"
"ABBV",162.68,35.8366610523643,164.66,104.17,-126.843338947636,"168.201397537394","5.52139753739399",-7443205.3032,10,"1-12"
"ABC",156.52,13.5095996062904,157.38,111.34,-143.01040039371,"168.738559470415","12.218559470415",-9483035.35,18,"12-45"
"ABEV",3.29,9.7539507050781,3.95,2.5,6.4639507050781,"4.33857668974737","1.04857668974737",0,0,"1-12"
"ABEV3.SA",15.39,9.75630656709381,19.86,13.06,-5.63369343290619,"16.4468610127693","1.0568610127693",0,0,"1-12"
"ABMD",338.64,57.543967467415,379.3,261.27,-281.096032532585,"343.735021237466","5.09502123746603",0,0,"1-12"
"ABT",118.58,42.6098784379126,142.6,105.36,-75.9701215620874,"124.066562150056","5.486562150056",-361477.2,7,"1-12"
"ABX.TO",31.21,18.7400557795215,33.5,22.3,-12.4699442204785,"34.2134129692833","3.0034129692833",0,0,"1-12"
"ACC",57.44,11.4669857447301,57.83,42.82,-45.9730142552699,"58.3076420367236","0.867642036723602",0,0,"1-12"
"ACM",77.6,22.0743559401437,79.97,58.36,-55.5256440598563,"62.2933977391165","-15.3066022608835",0,0,"1-12"
"ACN",340.64,80.2626390484654,417.37,276.88,-260.377360951535,"353.286012780233","12.646012780233",183823.4525,7,"1-12"
"ADBE",458.19,83.3003109551866,699.54,407.94,-374.889689044813,"466.115773195876","7.92577319587599",-1939588.35,11,"1-12"
"ADI",165.36,86.7397441943342,191.95,143.81,-78.6202558056658,"170.289038496043","4.92903849604298",-2871883.84,85,"45<"
"ADM",91.17,66.5717759353409,93.5,56.91,-24.5982240646591,"92.8449555950266","1.6749555950266",-1667312.818,2,"1-12"
"ADP",233.5,42.7103023806176,248.96,184.85,-190.789697619382,"239.515416958655","6.01541695865501",0,0,"1-12"
"ADSK",213.04,14.0255149984348,344.39,186.29,-199.014485001565,"219.924684684685","6.884684684685",-13719384.2,31,"12-45"
"AEE",94.79,59.5110715544736,94.85,79.35,-35.2789284455264,"94.822167269803","0.0321672698029971",-2371992.47,4,"1-12"
